Title: ECSA-b1588YfJDrDO54g77DE4xswFOxy4BlPn Detailed Results


Section: Benchmark Information
Name     Value
-----    -------------
RunId    b1588YfJDrDO54g77DE4xswFOxy4BlPn.19N


Section: WebDriver Throughput
Display: Line
Time (s)  createOrder  basket  getCatalogue  getItem  getCart  login  getOrders  catalogue   home  tags  getCustomer  viewOrdersPage  cataloguePage  getRelated  addToCart  catalogueSize  getAddress  getCard  showDetails
515              0.80    0.60          6.20     6.20    13.40   2.00       2.40       2.00   6.60  1.00         6.20            1.60           1.20        2.40       0.60           1.20        0.40     0.80         1.40
520              0.80    0.80          8.40     5.80    16.40   1.80       1.40       2.00   7.00  1.80         6.40            2.20           1.40        2.80       0.60           2.00        1.00     1.00         2.00
525              1.00    0.80          9.00     5.80    16.00   1.60       3.00       2.40   7.80  3.00         6.60            2.20           3.40        3.40       1.00           3.00        0.80     0.40         3.00
530              0.60    0.80          7.00     6.60    12.20   1.40       1.60       1.00   6.20  1.40         8.60            1.40           1.60        2.00       1.20           1.20        0.60     0.60         3.60
535              0.40    1.20          7.00     6.40    17.20   1.80       1.00       4.60   6.80  3.80         8.20            1.00           3.00        3.40       1.00           4.40        0.80     1.00         3.60
540              0.40    0.60          7.40     7.20    15.20   1.80       0.80       2.20   6.60  2.80         8.60            1.20           3.40        2.80       1.00           2.20        0.80     0.60         3.20
545              1.40    0.60          4.60     5.20    10.80   0.60       2.00       1.40   3.80  1.20         7.40            2.20           1.60        2.00       0.60           1.80        0.20     0.20         2.80
550              0.40    1.00          6.60     3.80    12.00   1.60       1.20       0.80   6.00  1.20         3.80            0.80           0.80        3.40       0.80           0.60        0.80     1.60         2.20
555              0.60    1.20          7.40     5.40    13.00   2.60       0.80       1.20   6.20  1.20         6.00            0.80           1.60        1.40       0.20           1.40        2.00     1.20         1.80
560              1.00    1.20          7.00     7.40    16.20   2.20       2.60       1.60   6.40  1.60         7.40            2.80           1.20        3.40       1.20           1.60        0.80     0.80         3.00
565              1.40    0.60          6.00     6.20    13.20   1.60       2.40       0.80   5.60  0.80         9.00            2.00           1.20        3.20       1.40           0.80        0.40     0.40         3.20
570              0.60    0.80          8.00     6.40    16.00   1.60       1.00       3.20   5.80  2.20         7.20            1.60           1.80        2.00       0.80           2.40        1.40     1.40         2.00
575              0.40    1.20          7.40     6.20    15.00   2.40       2.00       2.00   7.20  2.20         6.40            1.40           1.80        3.40       0.80           2.20        0.80     1.40         3.00
